"y","x1","x2","x3"
11502.4830985389,1960,26780362.5884243,60364
11502.4830985389,1961,28185065.4178304,66109
11502.4830985389,1962,29319989.3949807,71854
11502.4830985389,1963,31032317.8646535,77600
11502.4830985389,1964,31825882.6706574,83345
11502.4830985389,1965,32128315.2832412,89090
11502.4830985389,1966,35738330.6856169,94836
11502.4830985389,1967,37030628.6710496,100581
11502.4830985389,1968,38360773.7889266,106326
11502.4830985389,1969,39871414.6471846,112071
11502.4830985389,1970,40600649.6516301,117817
11505.3587193135,1971,44426321.4679541,123562
31275.2515449272,1972,43973196.1821321,129307
51045.1443705409,1973,41761674.93605,135053
70815.0371961546,1974,42756500.3970259,140798
90584.9300217684,1975,37235737.8599427,146543
110354.822847382,1976,38662828.7931516,152289
130124.715672996,1977,42701040.0058331,158034
149894.60849861,1978,45989491.3360453,163779
169664.501324223,1979,49861026.8407968,169524
189434.394149837,1980,53843237.9601477,175270
209204.286975451,1981,57356708.654318,181015
228974.179801064,1982,51039265.7906663,186760
248744.072626678,1983,48478411.1928596,192506
268513.965452292,1984,50467811.6276271,198251
288283.858277906,1985,52491528.5831464,203996
308053.751103519,1986,55314361.4857734,209742
327823.643929133,1987,58887928.401138,215487
347593.536754747,1988,63213311.7863737,221232
367363.429580361,1989,69486210.7569551,226977
387133.322405974,1990,71802579.0882495,232723
406903.215231588,1991,77406333.9596704,238468
426673.108057202,1992,86050073.0404712,244213
446443.000882815,1993,91719726.3357303,249959
466212.893708429,1994,96333410.154829,255704
485982.786534043,1995,104939158.704969,261449
505752.679359657,1996,112078082.148042,267195
525522.57218527,1997,120362601.757486,272940
545292.465010884,1998,125394825.678282,278685
565062.357836498,1999,125051706.063516,284430
584832.250662112,2000,131268803.553652,290176
604602.143487725,2001,135409067.462838,295921
624372.036313339,2002,139745947.904522,301666
644141.929138953,2003,146346491.776997,307412
663911.821964567,2004,156114028.60448,313157
683681.71479018,2005,165226475.828174,318902
703451.607615794,2006,175222662.457306,324648
723221.500441408,2007,184278574.391665,330393
742991.393267022,2008,191261613.433311,336138
762761.286092635,2009,189123237.376132,341883
782531.178918249,2010,200190069.229347,347629
802301.071743863,2011,212649692.512184,353374
822070.964569476,2012,225739004.134721,359119
841840.85739509,2013,233207597.703441,364865
861610.750220704,2014,237388192.47092,370610
881380.643046318,2015,242496649.874236,376355
901150.535871931,2016,246747710.111593,382101
920920.428697545,2017,250097792.355986,387846
940690.321523159,2018,260076767.994429,393591
960460.214348773,2019,262080762.440351,399336
980230.107174386,2020,246412987.238941,405082
1e+06,2021,275165008.283959,410827.5
