fecha;cantidad;temperatura;FoF;;
2022-01-01;0;15,5;1;;
2022-01-02;7;19,2;1;;
2022-01-03;1;16,9;0;;
2022-01-04;0;21,1;0;;
2022-01-05;0;25,2;0;;
2022-01-06;13;28;0;;
2022-01-07;10;30,1;1;;
2022-01-08;5;27;1;;
2022-01-09;3;20;1;;
2022-01-10;2;25,2;0;;
2022-01-11;8;27,4;0;;
2022-01-12;2;23,6;0;;
2022-01-13;3;22,4;0;;
2022-01-14;16;22,8;1;;
2022-01-15;22;20;1;;
2022-01-16;2;17;1;;
2022-01-17;9;17,4;0;;
2022-01-18;3;23;0;;
2022-01-19;5;19,2;0;;
2022-01-20;4;19,3;0;;
2022-01-21;12;20,7;1;;
2022-01-22;10;17,6;1;;
2022-01-23;1;18,3;1;;
2022-01-24;5;23,1;0;;
2022-01-25;2;24,3;0;;
2022-01-26;7;30,4;0;;
2022-01-27;5;30,9;0;;
2022-01-28;15;22,7;1;;
2022-01-29;9;20,8;1;;
2022-01-30;2;20,7;1;;
2022-01-31;6;21,3;0;;
2022-02-01;1;23,3;0;;
2022-02-02;13;25,6;0;;
2022-02-03;9;24,6;0;;
2022-02-04;14;23,4;1;;
2022-02-05;8;26,1;1;;
2022-02-06;6;30,2;1;;
2022-02-07;0;26,2;0;;
2022-02-08;11;25,1;0;;
2022-02-09;7;24,2;0;;
2022-02-10;5;21,6;0;;
2022-02-11;12;24;1;;
2022-02-12;3;29,5;1;;
2022-02-13;3;26,1;1;;
2022-02-14;2;23;0;;
2022-02-15;5;22,5;0;;
2022-02-16;6;24,3;0;;
2022-02-17;13;23,2;0;;
2022-02-18;5;23,6;1;;
2022-02-19;5;21,5;1;;
2022-02-20;3;22,1;1;;
2022-02-21;2;25,8;0;;
2022-02-22;13;26,5;0;;
2022-02-23;2;20,7;0;;
2022-02-24;2;19,4;0;;
2022-02-25;7;20;1;;
2022-02-26;4;18,6;1;;
2022-02-27;8;18;1;;
2022-02-28;2;18,3;0;;
2022-03-01;4;18;0;;
2022-03-02;0;25,4;0;;
2022-03-03;0;19,3;0;;
2022-03-04;12;18,7;1;;
2022-03-05;4;18,8;1;;
2022-03-06;11;17,6;1;;
2022-03-07;2;18,9;0;;
2022-03-08;0;16,9;0;;
2022-03-09;2;18,8;0;;
2022-03-10;1;22,9;0;;
2022-03-11;13;24,4;1;;
2022-03-12;4;21,7;1;;
2022-03-13;0;24,2;1;;
2022-03-14;1;23,8;0;;
2022-03-15;2;26,5;0;;
2022-03-16;1;20,7;0;;
2022-03-17;0;17,5;0;;
2022-03-18;2;18,7;1;;
2022-03-19;3;19,6;1;;
2022-03-20;0;15,3;1;;
2022-03-21;2;17,7;0;;
2022-03-22;0;17,7;0;;
2022-03-23;3;15,1;0;;
2022-03-24;3;18,3;0;;
2022-03-25;9;21,3;1;;
2022-03-26;0;17,2;1;;
2022-03-27;0;17,2;1;;
2022-03-28;4;15,3;0;;
2022-03-29;2;15,9;0;;
2022-03-30;0;16;0;;
2022-03-31;2;17,8;0;;
2022-04-01;14;22,8;1;;
2022-04-02;10;15,6;1;;
2022-04-03;0;14,7;1;;
2022-04-04;1;16;0;;
2022-04-05;6;17,2;0;;
2022-04-06;3;16,8;0;;
2022-04-07;1;19,8;0;;
2022-04-08;3;19,2;1;;
2022-04-09;6;15,2;1;;
2022-04-10;0;14,4;1;;
2022-04-11;3;11,8;0;;
2022-04-12;1;15,5;0;;
2022-04-13;2;17,3;0;;
2022-04-14;5;20,1;0;;
2022-04-15;4;14;1;;
2022-04-16;4;19,5;1;;
2022-04-17;4;17,4;1;;
2022-04-18;1;17;0;;
2022-04-19;3;15,9;0;;
2022-04-20;2;14,5;0;;
2022-04-21;6;14,8;0;;
2022-04-22;3;14;1;;
2022-04-23;4;14,5;1;;
2022-04-24;3;14,4;1;;
2022-04-25;0;12,2;0;;
2022-04-26;1;12,2;0;;
2022-04-27;2;12,6;0;;
2022-04-28;8;13,2;0;;
2022-04-29;8;13;1;;
2022-04-30;6;15,5;1;;
2022-05-01;0;16,3;1;;
2022-05-02;0;16,9;0;;
2022-05-03;0;17;0;;
2022-05-04;0;17,8;0;;
2022-05-05;1;17;0;;
2022-05-06;3;15;1;;
2022-05-07;8;16,9;1;;
2022-05-08;2;18,6;1;;
2022-05-09;0;13,3;0;;
2022-05-10;2;14;0;;
2022-05-11;2;9,8;0;;
2022-05-12;6;14,8;0;;
2022-05-13;4;9,2;1;;
2022-05-14;1;14,6;1;;
2022-05-15;0;15,4;1;;
2022-05-16;1;18,6;0;;
2022-05-17;4;15,5;0;;
2022-05-18;0;14,8;0;;
2022-05-19;3;13,9;0;;
2022-05-20;10;13,8;1;;
2022-05-21;8;13,3;1;;
2022-05-22;1;12,8;1;;
2022-05-23;0;9,8;0;;
2022-05-24;1;11;0;;
2022-05-25;1;9,7;0;;
2022-05-26;1;9,3;0;;
2022-05-27;11;9,9;1;;
2022-05-28;1;10,9;1;;
2022-05-29;0;9,3;1;;
2022-05-30;0;9,5;0;;
2022-05-31;0;9,1;0;;
2022-06-01;0;3,2;0;;
2022-06-02;0;8,7;0;;
2022-06-03;0;11;1;;
2022-06-04;2;11,1;1;;
2022-06-05;0;10;1;;
2022-06-06;8;11,8;0;;
2022-06-07;0;14,6;0;;
2022-06-08;3;12,6;0;;
2022-06-09;2;9,9;0;;
2022-06-10;2;3,3;1;;
2022-06-11;2;7,2;1;;
2022-06-12;2;10,5;1;;
2022-06-13;1;7,9;0;;
2022-06-14;2;8,8;0;;
2022-06-15;0;9,4;0;;
2022-06-16;7;11;0;;
2022-06-17;8;6,8;1;;
2022-06-18;2;8,4;1;;
2022-06-19;2;11,1;1;;
2022-06-20;0;9,2;0;;
2022-06-21;0;12;0;;
2022-06-22;0;9,5;0;;
2022-06-23;0;7,8;0;;
2022-06-24;5;8,7;1;;
2022-06-25;1;12,9;1;;
2022-06-26;2;9;1;;
2022-06-27;0;11,2;0;;
2022-06-28;0;13,3;0;;
2022-06-29;2;13;0;;
2022-06-30;0;10,5;0;;
2022-07-01;2;11,1;1;;
2022-07-02;0;8,5;1;;
2022-07-03;0;10;1;;
2022-07-04;4;10;0;;
2022-07-05;3;10,4;0;;
2022-07-06;4;10,3;0;;
2022-07-07;1;10,2;0;;
2022-07-08;3;9,7;1;;
2022-07-09;2;8,8;1;;
2022-07-10;0;10,1;1;;
2022-07-11;0;10,2;0;;
2022-07-12;1;10,3;0;;
2022-07-13;1;8;0;;
2022-07-14;0;5,4;0;;
2022-07-15;5;10,9;1;;
2022-07-16;5;7,4;1;;
2022-07-17;2;10,3;1;;
2022-07-18;2;4,3;0;;
2022-07-19;2;10;0;;
2022-07-20;0;11,6;0;;
2022-07-21;0;11,6;0;;
2022-07-22;7;12,1;1;;
2022-07-23;10;12,1;1;;
2022-07-24;4;9,8;1;;
2022-07-25;0;12,9;0;;
2022-07-26;3;13,8;0;;
2022-07-27;0;13,8;0;;
2022-07-28;0;7,5;0;;
2022-07-29;9;10,8;1;;
2022-07-30;1;8,9;1;;
2022-07-31;1;11,4;1;;
2022-08-01;0;10,5;0;;
2022-08-02;0;11,8;0;;
2022-08-03;0;8,8;0;;
2022-08-04;16;10,2;0;;
2022-08-05;1;8;1;;
2022-08-06;3;9,7;1;;
2022-08-07;0;7,4;1;;
2022-08-08;2;11,9;0;;
2022-08-09;0;10,3;0;;
2022-08-10;6;8,4;0;;
2022-08-11;0;13,1;0;;
2022-08-12;2;12;1;;
2022-08-13;10;12;1;;
2022-08-14;0;10,1;1;;
2022-08-15;1;10,6;0;;
2022-08-16;0;11,4;0;;
2022-08-17;0;10,2;0;;
2022-08-18;4;9,4;0;;
2022-08-19;2;15,7;1;;
2022-08-20;1;14,4;1;;
2022-08-21;3;17,7;1;;
2022-08-22;5;15;0;;
2022-08-23;1;10,8;0;;
2022-08-24;7;11,9;0;;
2022-08-25;4;12,3;0;;
2022-08-26;3;10,9;1;;
2022-08-27;1;12,2;1;;
2022-08-28;2;15,4;1;;
2022-08-29;0;16,3;0;;
2022-08-30;8;10,5;0;;
2022-08-31;3;13,7;0;;
2022-09-01;2;14,8;0;;
2022-09-02;6;17,2;1;;
2022-09-03;3;19;1;;
2022-09-04;0;19,8;1;;
2022-09-05;3;17;0;;
2022-09-06;0;12,8;0;;
2022-09-07;1;11;0;;
2022-09-08;2;11,2;0;;
2022-09-09;3;13,8;1;;
2022-09-10;5;15,6;1;;
2022-09-11;14;12,9;1;;
2022-09-12;1;16,3;0;;
2022-09-13;5;16,4;0;;
2022-09-14;10;14,5;0;;
2022-09-15;3;12,2;0;;
2022-09-16;1;8,3;1;;
2022-09-17;12;11,2;1;;
2022-09-18;0;11,1;1;;
2022-09-19;0;12,5;0;;
2022-09-20;0;11,8;0;;
2022-09-21;5;12;0;;
2022-09-22;1;11,3;0;;
2022-09-23;2;16;1;;
2022-09-24;4;16;1;;
2022-09-25;0;13,7;1;;
2022-09-26;0;14,6;0;;
2022-09-27;1;17,6;0;;
2022-09-28;5;21,6;0;;
2022-09-29;0;20,4;0;;
2022-09-30;6;18,5;1;;
2022-10-01;1;19,3;1;;
2022-10-02;4;21,2;1;;
2022-10-03;2;15,5;0;;
2022-10-04;0;14,4;0;;
2022-10-05;6;12,8;0;;
2022-10-06;2;14,8;0;;
2022-10-07;6;13,3;1;;
2022-10-08;3;14,5;1;;
2022-10-09;1;15,6;1;;
2022-10-10;1;17,3;0;;
2022-10-11;0;10,8;0;;
2022-10-12;1;13;0;;
2022-10-13;10;12,8;0;;
2022-10-14;9;19,6;1;;
2022-10-15;4;23,8;1;;
2022-10-16;0;16,8;1;;
2022-10-17;1;26,7;0;;
2022-10-18;0;23,3;0;;
2022-10-19;1;15,8;0;;
2022-10-20;1;14,3;0;;
2022-10-21;2;18,1;1;;
2022-10-22;13;21,2;1;;
2022-10-23;0;14,8;1;;
2022-10-24;1;15,4;0;;
2022-10-25;0;18,2;0;;
2022-10-26;4;17;0;;
2022-10-27;0;15,3;0;;
2022-10-28;3;14,3;1;;
2022-10-29;6;14,1;1;;
2022-10-30;1;14,9;1;;
2022-10-31;2;18,7;0;;
